Timestep,MeanReward,RewardType,Algorithm,Environment,Seed,RunName,DemoName,NumDemos
0,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
1,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
2,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
3,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
4,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
5,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
6,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
7,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
8,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
9,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
10,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
11,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
12,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
13,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
14,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
15,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
16,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
17,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
18,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
19,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
20,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
21,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
22,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
23,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
24,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
25,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
26,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
27,0.0,sparse,MGAIL,Block Push - Image,seed_83,transfer_dynamics_mgail_seed_83,demos-unknown,0
